GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD47,"Estimate; Total: - Armenian: - Speak English less than ""very well"""
HD01_VD48,Estimate; Total: - Persian:
HD01_VD49,"Estimate; Total: - Persian: - Speak English ""very well"""
HD01_VD50,"Estimate; Total: - Persian: - Speak English less than ""very well"""
HD01_VD51,Estimate; Total: - Gujarati:
HD01_VD52,"Estimate; Total: - Gujarati: - Speak English ""very well"""
HD01_VD53,"Estimate; Total: - Gujarati: - Speak English less than ""very well"""
HD01_VD54,Estimate; Total: - Hindi:
HD01_VD55,"Estimate; Total: - Hindi: - Speak English ""very well"""
HD01_VD56,"Estimate; Total: - Hindi: - Speak English less than ""very well"""
HD01_VD57,Estimate; Total: - Urdu:
HD01_VD58,"Estimate; Total: - Urdu: - Speak English ""very well"""
HD01_VD59,"Estimate; Total: - Urdu: - Speak English less than ""very well"""
HD01_VD60,Estimate; Total: - Other Indic languages:
HD01_VD61,"Estimate; Total: - Other Indic languages: - Speak English ""very well"""
HD01_VD62,"Estimate; Total: - Other Indic languages: - Speak English less than ""very well"""
HD01_VD63,Estimate; Total: - Other Indo-European languages:
HD01_VD64,"Estimate; Total: - Other Indo-European languages: - Speak English ""very well"""
HD01_VD65,"Estimate; Total: - Other Indo-European languages: - Speak English less than ""very well"""
HD01_VD66,Estimate; Total: - Chinese:
HD01_VD67,"Estimate; Total: - Chinese: - Speak English ""very well"""
HD01_VD68,"Estimate; Total: - Chinese: - Speak English less than ""very well"""
HD01_VD69,Estimate; Total: - Japanese:
HD01_VD70,"Estimate; Total: - Japanese: - Speak English ""very well"""
HD01_VD71,"Estimate; Total: - Japanese: - Speak English less than ""very well"""
HD01_VD72,Estimate; Total: - Korean:
HD01_VD73,"Estimate; Total: - Korean: - Speak English ""very well"""
HD01_VD74,"Estimate; Total: - Korean: - Speak English less than ""very well"""
HD01_VD75,"Estimate; Total: - Mon-Khmer, Cambodian:"
HD01_VD76,"Estimate; Total: - Mon-Khmer, Cambodian: - Speak English ""very well"""
HD01_VD77,"Estimate; Total: - Mon-Khmer, Cambodian: - Speak English less than ""very well"""
HD01_VD78,Estimate; Total: - Hmong:
HD01_VD79,"Estimate; Total: - Hmong: - Speak English ""very well"""
HD01_VD80,"Estimate; Total: - Hmong: - Speak English less than ""very well"""
HD01_VD81,Estimate; Total: - Thai:
HD01_VD82,"Estimate; Total: - Thai: - Speak English ""very well"""
HD01_VD83,"Estimate; Total: - Thai: - Speak English less than ""very well"""
HD01_VD84,Estimate; Total: - Laotian:
HD01_VD85,"Estimate; Total: - Laotian: - Speak English ""very well"""
HD01_VD86,"Estimate; Total: - Laotian: - Speak English less than ""very well"""
HD01_VD87,Estimate; Total: - Vietnamese:
HD01_VD88,"Estimate; Total: - Vietnamese: - Speak English ""very well"""
HD01_VD89,"Estimate; Total: - Vietnamese: - Speak English less than ""very well"""
HD01_VD90,Estimate; Total: - Other Asian languages:
HD01_VD91,"Estimate; Total: - Other Asian languages: - Speak English ""very well"""
HD01_VD92,"Estimate; Total: - Other Asian languages: - Speak English less than ""very well"""
HD01_VD93,Estimate; Total: - Tagalog:
HD01_VD94,"Estimate; Total: - Tagalog: - Speak English ""very well"""
HD01_VD95,"Estimate; Total: - Tagalog: - Speak English less than ""very well"""
HD01_VD96,Estimate; Total: - Other Pacific Island languages:
HD01_VD97,"Estimate; Total: - Other Pacific Island languages: - Speak English ""very well"""
HD01_VD98,"Estimate; Total: - Other Pacific Island languages: - Speak English less than ""very well"""
HD01_VD99,Estimate; Total: - Navajo:
HD01_VD100,"Estimate; Total: - Navajo: - Speak English ""very well"""
HD01_VD101,"Estimate; Total: - Navajo: - Speak English less than ""very well"""
HD01_VD102,Estimate; Total: - Other Native North American languages:
HD01_VD103,"Estimate; Total: - Other Native North American languages: - Speak English ""very well"""
HD01_VD104,"Estimate; Total: - Other Native North American languages: - Speak English less than ""very well"""
HD01_VD105,Estimate; Total: - Hungarian:
HD01_VD106,"Estimate; Total: - Hungarian: - Speak English ""very well"""
HD01_VD107,"Estimate; Total: - Hungarian: - Speak English less than ""very well"""
HD01_VD108,Estimate; Total: - Arabic:
HD01_VD109,"Estimate; Total: - Arabic: - Speak English ""very well"""
HD01_VD110,"Estimate; Total: - Arabic: - Speak English less than ""very well"""
HD01_VD111,Estimate; Total: - Hebrew:
HD01_VD112,"Estimate; Total: - Hebrew: - Speak English ""very well"""
HD01_VD113,"Estimate; Total: - Hebrew: - Speak English less than ""very well"""
HD01_VD114,Estimate; Total: - African languages:
HD01_VD115,"Estimate; Total: - African languages: - Speak English ""very well"""
HD01_VD116,"Estimate; Total: - African languages: - Speak English less than ""very well"""
HD01_VD117,Estimate; Total: - Other and unspecified languages:
HD01_VD118,"Estimate; Total: - Other and unspecified languages: - Speak English ""very well"""
HD01_VD119,"Estimate; Total: - Other and unspecified languages: - Speak English less than ""very well"""
